tweet_id,semantic_topic
1875904106541559808,5
1908514097764897024,13
1879292908261794304,-1
1895133428124918272,0
1978962010009223168,-1
1899268420857958656,16
1943653765791256832,-1
1970963779145097216,21
1964981430028845312,1
1895318106790338560,-1
1919777440714350848,0
1946900137680531712,-1
1886651224755417344,-1
1955930147632165120,11
1880296662310219776,38
1975646301846172160,7
1878954210219409664,4
1904019584526811648,5
1915427077748388352,13
1981710340661608704,5
1952264886203134464,16
1968005449325887744,3
1986064483442368768,-1
1977348452288717056,26
1876210327303655680,5
1984946772746391552,6
1946548849650360576,0
1953818727222284800,-1
1953268612913086720,-1
1959169136690700544,0
1921077075739324672,2
1975576858235121920,0
1906148020074504192,18
1992741706920558848,17
1953793197076877824,2
1952330376409706752,-1
1880622608166814208,2
1879110421451526144,3
1905133150864285952,13
1976742506760212736,-1
1950599526777233664,-1
1937333971496632576,-1
1997309942257287680,40
1909894389482066432,30
1903198731534733568,0
1915833643400134656,-1
1907727260704010496,-1
1949680486328185088,48
1919742216370872832,1
1952164973301604352,-1
1879103711051665920,27
1997324753988968704,10
1956898809675444736,-1
1963894979740250368,0
1904112465367179520,0
1981649143958552832,-1
1886654321791791104,-1
1913944123419287808,-1
1893502250040848896,20
1945471916187488256,-1
1939460236143919360,-1
1957021003445350400,-1
1988393688482148608,2
1897942245594071552,3
1951115004746539008,-1
1971350794848043008,-1
1892152321758646528,5
1955151875587838208,-1
1975591559044411904,10
1886701731981222144,43
1936211727378747648,-1
1953788850498629888,0
1962276719135424768,32
1999492098849145088,0
1897661576959939072,-1
1939350731590681088,4
1963575796368642048,11
1938432360338592000,0
1975204635326689536,-1
1955891040982065664,25
1961046853405069312,-1
1932807188176867840,4
1968312194820714752,-1
1883132680159813888,4
1879187201013289216,9
1975712453825835264,1
1913531755543621888,6
1892506545948439040,2
1918609923820421120,-1
1922801553234096384,47
1884455550920069632,-1
1937198523579314432,-1
1999874701708136448,-1
1953363733818032384,30
1933756882348617728,0
1908667167413051904,8
1912193788363305472,-1
1917249458708058624,-1
1883123919164727552,20
2003833659074523648,0
1957287171930382592,2
1960824803419676928,-1
1950086130767950080,-1
1912451927818031616,0
1884496404753833984,-1
1948708718448967680,6
1920066861741580544,0
1877460395230732544,27
1879160917054927104,-1
1894002377436324352,0
1898946745868206080,38
1999481082606227712,-1
1906121035830977024,3
1953298552119279872,2
1921528466224165376,2
1989476749902843904,35
1939544268357734400,4
1916885894382182656,13
1876370751663800320,-1
1876226526141968640,13
1997309175765078272,-1
1963895258959507968,9
1998446593629106688,-1
1935721519399002624,34
1946234657986768896,0
1886364776886067456,-1
1905273833369882880,3
1885401515801927936,31
1888205461771743232,-1
1956978693907321088,-1
1912514303602954496,35
1992370459455951360,10
1980414319876796672,0
1901242914249880064,-1
1921210625293709824,1
1975583496711381248,-1
1919771969861345536,19
1908530338898554880,8
1996151349919305728,2
1974115764702753280,-1
1964927515627274496,1
1890761343092830464,2
1985953445309006080,-1
1918312020031754752,-1
1938748244575822080,-1
1995464547780481536,6
1972768082256187648,1
1901040023635636224,3
1921039499351445760,-1
1979282968154902528,29
1926133577856471296,0
1935696340413190144,-1
1979174543618121984,3
1941044871042945536,3
1890800312639705344,-1
1920072506750198272,-1
1950345225265955328,-1
1902575541204779264,0
